price,floor_area,beds,baths,property_type,floor_area_unit,price_sq_mt
495000.0,101.0,3.0,2.0,Semi-D,m²,4901.0
5800000.0,595.0,6.0,5.0,Semi-D,m²,9748.0
375000.0,220.0,5.0,2.0,Detached,m²,1705.0
280000.0,75.0,2.0,2.0,Apartment,m²,3733.0
230000.0,95.0,4.0,2.0,Detached,m²,2421.0
190000.0,90.0,3.0,2.0,Semi-D,m²,2111.0
350000.0,158.0,4.0,2.0,Detached,m²,2215.0
335000.0,65.0,2.0,2.0,Apartment,m²,5154.0
500000.0,129.0,4.0,3.0,Semi-D,m²,3876.0
535000.0,238.0,4.0,2.0,Detached,m²,2248.0
395000.0,307.0,6.0,4.0,Detached,m²,1287.0
375000.0,123.0,4.0,2.0,Detached,m²,3049.0
625000.0,299.0,8.0,5.0,Detached,m²,2090.0
255000.0,87.0,3.0,2.0,Apartment,m²,2931.0
445000.0,176.0,6.0,3.0,Detached,m²,2528.0
545000.0,143.0,4.0,2.0,Semi-D,m²,3811.0
375000.0,204.0,5.0,3.0,Detached,m²,1838.0
1495000.0,200.0,5.0,3.0,Detached,m²,7475.0
950000.0,315.0,5.0,5.0,Detached,m²,3016.0
430000.0,282.0,6.0,7.0,Detached,m²,1525.0
350000.0,114.0,3.0,3.0,Detached,m²,3070.0
180000.0,130.0,2.0,2.0,Detached,m²,1385.0
400000.0,132.0,4.0,2.0,Detached,m²,3030.0
550000.0,229.0,5.0,4.0,Detached,m²,2402.0
470000.0,111.0,3.0,3.0,Detached,m²,4234.0
230000.0,231.0,4.0,2.0,Detached,m²,996.0
365000.0,125.0,3.0,3.0,Semi-D,m²,2920.0
410000.0,159.0,3.0,2.0,Semi-D,m²,2579.0
280000.0,236.0,4.0,3.0,Detached,m²,1186.0
475000.0,232.0,4.0,4.0,Detached,m²,2047.0
440000.0,130.0,4.0,3.0,Semi-D,m²,3385.0
725000.0,410.0,5.0,5.0,Detached,m²,1768.0
599000.0,139.0,4.0,3.0,Detached,m²,4309.0
385000.0,138.0,3.0,2.0,Detached,m²,2790.0
575000.0,232.0,5.0,3.0,Detached,m²,2478.0
525000.0,126.0,4.0,3.0,Semi-D,m²,4167.0
375000.0,121.0,4.0,3.0,Semi-D,m²,3099.0
475000.0,144.0,4.0,2.0,Detached,m²,3299.0
350000.0,130.0,4.0,1.0,Detached,m²,2692.0
200000.0,52.0,1.0,1.0,Apartment,m²,3846.0
275000.0,79.0,2.0,2.0,Apartment,m²,3481.0
865000.0,210.0,4.0,3.0,Semi-D,m²,4119.0
495000.0,251.0,4.0,4.0,Detached,m²,1972.0
675000.0,207.0,4.0,4.0,Detached,m²,3261.0
595000.0,119.0,4.0,3.0,Semi-D,m²,5000.0
325000.0,149.0,7.0,4.0,Semi-D,m²,2181.0
310000.0,147.0,3.0,3.0,Detached,m²,2109.0
290000.0,126.0,4.0,3.0,Semi-D,m²,2302.0
375000.0,153.0,3.0,2.0,Semi-D,m²,2451.0
315000.0,98.0,2.0,3.0,Apartment,m²,3214.0
325000.0,94.0,3.0,2.0,Apartment,m²,3457.0
580000.0,267.0,4.0,3.0,Detached,m²,2172.0
350000.0,211.0,4.0,3.0,Detached,m²,1659.0
260000.0,40.0,1.0,1.0,Apartment,m²,6500.0
449000.0,200.0,4.0,3.0,Detached,m²,2245.0
495000.0,250.0,4.0,3.0,Detached,m²,1980.0
250000.0,112.0,3.0,2.0,Detached,m²,2232.0
850000.0,270.0,5.0,3.0,Detached,m²,3148.0
495000.0,179.0,4.0,4.0,Detached,m²,2765.0
735000.0,235.0,4.0,3.0,Detached,m²,3128.0
320000.0,124.0,4.0,2.0,Detached,m²,2581.0
410000.0,251.0,5.0,4.0,Detached,m²,1633.0
365000.0,70.0,2.0,1.0,Apartment,m²,5214.0
1150000.0,290.0,5.0,4.0,Detached,m²,3966.0
445000.0,110.0,3.0,3.0,Semi-D,m²,4045.0
297500.0,114.0,4.0,1.0,Detached,m²,2610.0
799000.0,160.0,4.0,4.0,Semi-D,m²,4994.0
550000.0,142.0,3.0,2.0,Semi-D,m²,3873.0
220000.0,49.0,1.0,1.0,Apartment,m²,4490.0
250000.0,72.0,2.0,2.0,Apartment,m²,3472.0
325000.0,99.0,3.0,1.0,Detached,m²,3283.0
295000.0,67.0,2.0,1.0,Apartment,m²,4403.0
750000.0,224.0,4.0,4.0,Detached,m²,3348.0
495000.0,147.0,4.0,3.0,Semi-D,m²,3367.0
245000.0,121.0,3.0,3.0,Semi-D,m²,2025.0
220000.0,41.0,1.0,1.0,Apartment,m²,5366.0
575000.0,179.0,5.0,3.0,Semi-D,m²,3212.0
295000.0,92.0,3.0,3.0,Semi-D,m²,3207.0
425000.0,141.0,4.0,2.0,Detached,m²,3014.0
325000.0,158.0,4.0,3.0,Detached,m²,2057.0
420000.0,125.0,4.0,1.0,Detached,m²,3360.0
450000.0,78.0,2.0,2.0,Apartment,m²,5769.0
230000.0,97.0,3.0,1.0,Semi-D,m²,2371.0
559000.0,171.0,5.0,3.0,Detached,m²,3269.0
850000.0,116.0,3.0,2.0,Semi-D,m²,7328.0
510000.0,206.0,6.0,3.0,Detached,m²,2476.0
475000.0,94.0,2.0,1.0,Apartment,m²,5053.0
299000.0,84.0,3.0,2.0,Semi-D,m²,3560.0
560000.0,193.0,4.0,3.0,Detached,m²,2902.0
365000.0,55.0,1.0,1.0,Apartment,m²,6636.0
255000.0,95.0,3.0,3.0,Semi-D,m²,2684.0
280000.0,99.0,3.0,2.0,Apartment,m²,2828.0
295000.0,121.0,4.0,3.0,Semi-D,m²,2438.0
465000.0,236.0,4.0,3.0,Detached,m²,1970.0
445000.0,78.0,2.0,2.0,Apartment,m²,5705.0
350000.0,127.0,4.0,3.0,Semi-D,m²,2756.0
325000.0,105.0,3.0,2.0,Semi-D,m²,3095.0
345000.0,200.0,5.0,2.0,Detached,m²,1725.0
295000.0,93.0,3.0,2.0,Semi-D,m²,3172.0
450000.0,207.0,5.0,3.0,Detached,m²,2174.0
450000.0,120.0,4.0,3.0,Semi-D,m²,3750.0
1150000.0,193.0,4.0,4.0,Detached,m²,5959.0
375000.0,138.0,4.0,1.0,Detached,m²,2717.0
500000.0,158.0,3.0,3.0,Detached,m²,3165.0
135000.0,75.0,2.0,2.0,Apartment,m²,1800.0
450000.0,223.0,4.0,4.0,Detached,m²,2018.0
245000.0,84.0,2.0,3.0,Apartment,m²,2917.0
265000.0,105.0,3.0,3.0,Semi-D,m²,2524.0
150000.0,123.0,3.0,2.0,Detached,m²,1220.0
450000.0,223.0,3.0,3.0,Detached,m²,2018.0
470000.0,123.0,4.0,2.0,Semi-D,m²,3821.0
285000.0,67.0,2.0,2.0,Apartment,m²,4254.0
469000.0,271.0,4.0,4.0,Detached,m²,1731.0
1150000.0,256.0,5.0,3.0,Detached,m²,4492.0
250000.0,100.0,3.0,1.0,Detached,m²,2500.0
295000.0,111.0,3.0,2.0,Detached,m²,2658.0
1650000.0,459.0,5.0,5.0,Detached,m²,3595.0
385000.0,134.0,4.0,2.0,Detached,m²,2873.0
205000.0,118.0,3.0,3.0,Semi-D,m²,1737.0
330000.0,46.0,1.0,1.0,Apartment,m²,7174.0
585000.0,260.0,5.0,2.0,Detached,m²,2250.0
275000.0,160.0,4.0,2.0,Detached,m²,1719.0
485000.0,216.0,5.0,5.0,Detached,m²,2245.0
250000.0,152.0,4.0,4.0,Detached,m²,1645.0
575000.0,111.0,3.0,1.0,Apartment,m²,5180.0
275000.0,226.0,6.0,2.0,Detached,m²,1217.0
230000.0,42.0,1.0,1.0,Apartment,m²,5476.0
425000.0,86.0,3.0,1.0,Detached,m²,4942.0
3500000.0,1106.0,7.0,7.0,Detached,m²,3165.0
375000.0,124.0,3.0,3.0,Semi-D,m²,3024.0
975000.0,298.0,5.0,3.0,Detached,m²,3272.0
350000.0,204.0,5.0,3.0,Detached,m²,1716.0
