month,country,residential_price_index,perc_change_prev,perc_change_yoy
2002-12-01,ES,72.1,0.1,2.9
2002-12-01,FI,75.1,-0.1,1.5
2002-12-01,IE,82.2,0.6,7.0
2002-12-01,LT,63.3,-1.1,1.6
2002-12-01,NL,80.3,0.0,2.4
2002-12-01,NO,64.0,0.9,3.4
2002-12-01,PL,82.2,-0.4,-1.8
2002-12-01,PT,78.5,-0.3,2.2
2003-01-01,AT,70.4,0.6,2.2
2003-01-01,ES,72.8,1.0,2.5
2003-01-01,FI,75.5,0.5,1.9
2003-01-01,IE,81.8,-0.5,8.1
2003-01-01,LT,62.0,-2.1,1.1
2003-01-01,NL,81.0,0.9,2.0
2003-01-01,NO,64.3,0.5,3.5
2003-01-01,PL,82.4,0.2,-1.6
2003-01-01,PT,78.5,0.0,1.8
2003-02-01,AT,70.5,0.1,2.3
2003-02-01,ES,73.2,0.5,3.0
2003-02-01,FI,75.6,0.1,2.0
2003-02-01,IE,82.6,1.0,8.3
2003-02-01,LT,62.6,1.0,1.5
2003-02-01,NL,81.0,0.0,2.0
2003-02-01,NO,64.6,0.5,3.9
2003-02-01,PL,82.4,0.0,-1.9
2003-02-01,PT,78.9,0.5,2.3
2003-03-01,AT,70.6,0.1,2.0
2003-03-01,ES,72.4,-1.1,1.7
2003-03-01,FI,76.1,0.7,2.3
2003-03-01,IE,83.8,1.5,9.4
2003-03-01,LT,62.6,0.0,0.5
2003-03-01,NL,81.1,0.1,1.6
2003-03-01,NO,64.8,0.3,3.7
2003-03-01,PL,82.0,-0.5,-2.6
2003-03-01,PT,79.2,0.4,2.1
2003-04-01,AT,70.6,0.0,2.0
2003-04-01,ES,73.1,1.0,2.5
2003-04-01,FI,76.2,0.1,1.9
2003-04-01,IE,85.5,2.0,9.1
2003-04-01,LT,63.4,1.3,1.3
2003-04-01,NL,81.1,0.0,1.6
2003-04-01,NO,64.7,-0.2,3.5
2003-04-01,PL,82.3,0.4,-1.6
2003-04-01,PT,80.0,1.0,1.9
2003-05-01,AT,71.6,1.4,2.3
2003-05-01,ES,73.0,-0.1,2.2
2003-05-01,FI,76.3,0.1,1.9
2003-05-01,IE,86.1,0.7,10.5
2003-05-01,LT,64.2,1.3,2.1
2003-05-01,NL,81.1,0.0,1.6
2003-05-01,NO,64.7,0.0,3.2
2003-05-01,PL,82.4,0.1,-1.3
2003-05-01,PT,79.8,-0.3,1.5
2003-06-01,AT,71.7,0.1,2.4
2003-06-01,ES,72.9,-0.1,2.1
2003-06-01,FI,76.4,0.1,1.9
2003-06-01,IE,85.0,-1.3,8.7
2003-06-01,LT,64.4,0.3,1.3
2003-06-01,NL,81.1,0.0,1.5
2003-06-01,NO,64.7,0.0,3.2
2003-06-01,PL,82.5,0.1,-1.0
2003-06-01,PT,79.3,-0.6,0.8
2003-07-01,AT,71.7,0.0,2.6
2003-07-01,ES,73.0,0.1,2.2
2003-07-01,FI,76.5,0.1,1.9
2003-07-01,IE,86.2,1.4,10.5
2003-07-01,LT,64.3,-0.2,1.6
2003-07-01,NL,81.3,0.2,1.2
2003-07-01,NO,64.7,0.0,2.9
2003-07-01,PL,82.5,0.0,-0.7
2003-07-01,PT,79.4,0.1,0.6
2003-08-01,AT,71.7,0.0,2.7
2003-08-01,ES,73.6,0.8,2.2
2003-08-01,FI,76.6,0.1,1.9
2003-08-01,IE,88.4,2.6,11.3
2003-08-01,LT,65.1,1.2,1.6
2003-08-01,NL,81.3,0.0,1.2
